x_parameter,x_value,y_parameter,y_value,lcoe_gbp_per_mwh
launch_cost_gbp_per_kg,20.0,end_to_end_efficiency,0.05,598.3419992221801
launch_cost_gbp_per_kg,104.40677966101696,end_to_end_efficiency,0.05,717.2790428938863
launch_cost_gbp_per_kg,188.8135593220339,end_to_end_efficiency,0.05,836.2160865655925
launch_cost_gbp_per_kg,273.22033898305085,end_to_end_efficiency,0.05,955.1531302372987
launch_cost_gbp_per_kg,357.6271186440678,end_to_end_efficiency,0.05,1074.0901739090052
launch_cost_gbp_per_kg,442.0338983050848,end_to_end_efficiency,0.05,1193.0272175807113
launch_cost_gbp_per_kg,526.4406779661017,end_to_end_efficiency,0.05,1311.9642612524176
launch_cost_gbp_per_kg,610.8474576271187,end_to_end_efficiency,0.05,1430.9013049241237
launch_cost_gbp_per_kg,695.2542372881356,end_to_end_efficiency,0.05,1549.8383485958302
launch_cost_gbp_per_kg,779.6610169491526,end_to_end_efficiency,0.05,1668.7753922675363
launch_cost_gbp_per_kg,864.0677966101696,end_to_end_efficiency,0.05,1787.7124359392424
launch_cost_gbp_per_kg,948.4745762711865,end_to_end_efficiency,0.05,1906.649479610949
launch_cost_gbp_per_kg,1032.8813559322034,end_to_end_efficiency,0.05,2025.586523282655
launch_cost_gbp_per_kg,1117.2881355932204,end_to_end_efficiency,0.05,2144.523566954361
launch_cost_gbp_per_kg,1201.6949152542375,end_to_end_efficiency,0.05,2263.4606106260676
launch_cost_gbp_per_kg,1286.1016949152543,end_to_end_efficiency,0.05,2382.397654297773
launch_cost_gbp_per_kg,1370.5084745762713,end_to_end_efficiency,0.05,2501.33469796948
launch_cost_gbp_per_kg,1454.9152542372883,end_to_end_efficiency,0.05,2620.271741641186
launch_cost_gbp_per_kg,1539.322033898305,end_to_end_efficiency,0.05,2739.208785312892
launch_cost_gbp_per_kg,1623.7288135593221,end_to_end_efficiency,0.05,2858.145828984598
launch_cost_gbp_per_kg,1708.1355932203392,end_to_end_efficiency,0.05,2977.0828726563045
launch_cost_gbp_per_kg,1792.542372881356,end_to_end_efficiency,0.05,3096.0199163280104
launch_cost_gbp_per_kg,1876.949152542373,end_to_end_efficiency,0.05,3214.956959999718
launch_cost_gbp_per_kg,1961.35593220339,end_to_end_efficiency,0.05,3333.8940036714234
launch_cost_gbp_per_kg,2045.7627118644068,end_to_end_efficiency,0.05,3452.8310473431297
launch_cost_gbp_per_kg,2130.169491525424,end_to_end_efficiency,0.05,3571.768091014836
launch_cost_gbp_per_kg,2214.576271186441,end_to_end_efficiency,0.05,3690.7051346865424
launch_cost_gbp_per_kg,2298.983050847458,end_to_end_efficiency,0.05,3809.642178358248
launch_cost_gbp_per_kg,2383.389830508475,end_to_end_efficiency,0.05,3928.5792220299554
launch_cost_gbp_per_kg,2467.7966101694915,end_to_end_efficiency,0.05,4047.5162657016604
launch_cost_gbp_per_kg,2552.2033898305085,end_to_end_efficiency,0.05,4166.453309373367
launch_cost_gbp_per_kg,2636.6101694915255,end_to_end_efficiency,0.05,4285.390353045073
launch_cost_gbp_per_kg,2721.0169491525426,end_to_end_efficiency,0.05,4404.32739671678
launch_cost_gbp_per_kg,2805.4237288135596,end_to_end_efficiency,0.05,4523.264440388485
launch_cost_gbp_per_kg,2889.8305084745766,end_to_end_efficiency,0.05,4642.201484060191
launch_cost_gbp_per_kg,2974.2372881355936,end_to_end_efficiency,0.05,4761.138527731898
launch_cost_gbp_per_kg,3058.64406779661,end_to_end_efficiency,0.05,4880.075571403604
launch_cost_gbp_per_kg,3143.0508474576272,end_to_end_efficiency,0.05,4999.01261507531
launch_cost_gbp_per_kg,3227.4576271186443,end_to_end_efficiency,0.05,5117.949658747017
launch_cost_gbp_per_kg,3311.8644067796613,end_to_end_efficiency,0.05,5236.886702418723
launch_cost_gbp_per_kg,3396.2711864406783,end_to_end_efficiency,0.05,5355.823746090429
launch_cost_gbp_per_kg,3480.6779661016953,end_to_end_efficiency,0.05,5474.760789762137
launch_cost_gbp_per_kg,3565.084745762712,end_to_end_efficiency,0.05,5593.69783343384
launch_cost_gbp_per_kg,3649.491525423729,end_to_end_efficiency,0.05,5712.634877105548
launch_cost_gbp_per_kg,3733.898305084746,end_to_end_efficiency,0.05,5831.5719207772545
