end_to_end_efficiency,solar_conversion_efficiency,target_lcoe_gbp_per_mwh,max_launch_cost_gbp_per_kg_to_staging_orbit,lcoe_at_threshold_gbp_per_mwh,solution_method,status
0.12,0.280331912984974,150,1341.25856773638,150,derived solar stage plus monotonic bisection,feasible
0.12,0.280331912984974,120,946.735321081254,120,derived solar stage plus monotonic bisection,feasible
0.12,0.280331912984974,100,683.719823311171,100,derived solar stage plus monotonic bisection,feasible
0.12,0.280331912984974,80,420.704325541089,80,derived solar stage plus monotonic bisection,feasible
0.12,0.280331912984974,60,157.688827771008,60,derived solar stage plus monotonic bisection,feasible
0.15,0.350414891231218,150,1341.25856773638,150,derived solar stage plus monotonic bisection,feasible
0.15,0.350414891231218,120,946.735321081254,120,derived solar stage plus monotonic bisection,feasible
0.15,0.350414891231218,100,683.719823311171,100,derived solar stage plus monotonic bisection,feasible
0.15,0.350414891231218,80,420.704325541089,80,derived solar stage plus monotonic bisection,feasible
0.15,0.350414891231218,60,157.688827771008,60,derived solar stage plus monotonic bisection,feasible
0.18,0.420497869477461,150,1341.25856773638,150,derived solar stage plus monotonic bisection,feasible
0.18,0.420497869477461,120,946.735321081254,120,derived solar stage plus monotonic bisection,feasible
0.18,0.420497869477461,100,683.719823311171,100,derived solar stage plus monotonic bisection,feasible
0.18,0.420497869477461,80,420.704325541089,80,derived solar stage plus monotonic bisection,feasible
0.18,0.420497869477461,60,157.688827771008,60,derived solar stage plus monotonic bisection,feasible
0.19,0.443858862226209,150,1341.25856773638,150,derived solar stage plus monotonic bisection,feasible
0.19,0.443858862226209,120,946.735321081254,120,derived solar stage plus monotonic bisection,feasible
0.19,0.443858862226209,100,683.719823311171,100,derived solar stage plus monotonic bisection,feasible
0.19,0.443858862226209,80,420.704325541089,80,derived solar stage plus monotonic bisection,feasible
0.19,0.443858862226209,60,157.688827771008,60,derived solar stage plus monotonic bisection,feasible
