parameter,display_name,target_lcoe_gbp_per_mwh,feasible,best_lcoe_in_range_gbp_per_mwh,threshold_value
solar_conversion_efficiency,Solar-to-DC conversion efficiency,150,True,86.0297339990382,0.2
solar_conversion_efficiency,Solar-to-DC conversion efficiency,120,True,86.0297339990382,0.2
solar_conversion_efficiency,Solar-to-DC conversion efficiency,100,True,86.0297339990382,0.2
solar_conversion_efficiency,Solar-to-DC conversion efficiency,80,False,86.0297339990382,
solar_conversion_efficiency,Solar-to-DC conversion efficiency,60,False,86.0297339990382,
dc_to_rf_efficiency,DC-to-RF efficiency,150,True,83.3020969613495,0.4
dc_to_rf_efficiency,DC-to-RF efficiency,120,True,83.3020969613495,0.4
dc_to_rf_efficiency,DC-to-RF efficiency,100,True,83.3020969613495,0.4
dc_to_rf_efficiency,DC-to-RF efficiency,80,False,83.3020969613495,
dc_to_rf_efficiency,DC-to-RF efficiency,60,False,83.3020969613495,
transmission_efficiency,RF transmission efficiency,150,True,85.7559422913606,0.85
transmission_efficiency,RF transmission efficiency,120,True,85.7559422913606,0.85
transmission_efficiency,RF transmission efficiency,100,True,85.7559422913606,0.85
transmission_efficiency,RF transmission efficiency,80,False,85.7559422913606,
transmission_efficiency,RF transmission efficiency,60,False,85.7559422913606,
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,150,True,81.756435973326,0.4
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,120,True,81.756435973326,0.4
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,100,True,81.756435973326,0.4
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,80,False,81.756435973326,
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,60,False,81.756435973326,
grid_conversion_efficiency,DC-to-grid AC efficiency,150,True,85.4793850108783,0.9
grid_conversion_efficiency,DC-to-grid AC efficiency,120,True,85.4793850108783,0.9
grid_conversion_efficiency,DC-to-grid AC efficiency,100,True,85.4793850108783,0.9
grid_conversion_efficiency,DC-to-grid AC efficiency,80,False,85.4793850108783,
grid_conversion_efficiency,DC-to-grid AC efficiency,60,False,85.4793850108783,
capacity_factor,Delivered capacity factor,150,True,79.2517965297289,0.6
capacity_factor,Delivered capacity factor,120,True,79.2517965297289,0.638690261531063
capacity_factor,Delivered capacity factor,100,True,79.2517965297289,0.770378975248808
capacity_factor,Delivered capacity factor,80,True,79.2517965297289,0.970477410378368
capacity_factor,Delivered capacity factor,60,False,79.2517965297289,
operating_lifetime_years,Operating lifetime after commissioning,150,True,79.2678116498669,15
operating_lifetime_years,Operating lifetime after commissioning,120,True,79.2678116498669,15
operating_lifetime_years,Operating lifetime after commissioning,100,True,79.2678116498669,20
operating_lifetime_years,Operating lifetime after commissioning,80,True,79.2678116498669,43
operating_lifetime_years,Operating lifetime after commissioning,60,False,79.2678116498669,
real_discount_rate,Real project discount rate,150,True,56.9495540024183,0.120632787022047
real_discount_rate,Real project discount rate,120,True,56.9495540024183,0.0968366810470956
real_discount_rate,Real project discount rate,100,True,56.9495540024183,0.0789128870110219
real_discount_rate,Real project discount rate,80,True,56.9495540024183,0.0585308942593808
real_discount_rate,Real project discount rate,60,True,56.9495540024183,0.0342257771202991
construction_duration_years,Construction duration,150,True,74.671368306316,8
construction_duration_years,Construction duration,120,True,74.671368306316,8
construction_duration_years,Construction duration,100,True,74.671368306316,8
construction_duration_years,Construction duration,80,True,74.671368306316,1
construction_duration_years,Construction duration,60,False,74.671368306316,
annual_output_degradation_fraction,Annual delivered-output degradation,150,True,82.0163067147978,0.03
annual_output_degradation_fraction,Annual delivered-output degradation,120,True,82.0163067147978,0.03
annual_output_degradation_fraction,Annual delivered-output degradation,100,True,82.0163067147978,0.0216313860532886
annual_output_degradation_fraction,Annual delivered-output degradation,80,False,82.0163067147978,
annual_output_degradation_fraction,Annual delivered-output degradation,60,False,82.0163067147978,
system_specific_mass_kg_per_kw_delivered,System specific mass,150,True,31.2801085127563,10
system_specific_mass_kg_per_kw_delivered,System specific mass,120,True,31.2801085127563,7.79209575675784
system_specific_mass_kg_per_kw_delivered,System specific mass,100,True,31.2801085127563,6.14824889569482
system_specific_mass_kg_per_kw_delivered,System specific mass,80,True,31.2801085127563,4.50440203463181
system_specific_mass_kg_per_kw_delivered,System specific mass,60,True,31.2801085127563,2.8605551735688
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,150,True,72.5052003538321,2.05547986257352
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,120,True,72.5052003538321,1.27911298180334
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,100,True,72.5052003538321,0.761535061289883
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,80,True,72.5052003538321,0.243957140776427
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,60,False,72.5052003538321,
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,150,True,83.8658086158052,1
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,120,True,83.8658086158052,1
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,100,True,83.8658086158052,0.616478658985546
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,80,False,83.8658086158052,
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,60,False,83.8658086158052,
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,150,True,49.5299836748502,1341.25856773638
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,120,True,49.5299836748502,946.735321081254
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,100,True,49.5299836748502,683.719823311171
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,80,True,49.5299836748502,420.704325541089
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,60,True,49.5299836748502,157.688827771008
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,150,True,78.4256193481657,941.258567736377
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,120,True,78.4256193481657,546.735321081254
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,100,True,78.4256193481657,283.719823311172
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,80,True,78.4256193481657,20.7043255410894
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,60,False,78.4256193481657,
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,150,True,70.8215046972932,1041.25856773638
