year,phase,real_cost_gbp,delivered_energy_mwh,discounted_cost_gbp,discounted_energy_mwh
0.0,construction,3208779995.5146894,0.0,3208779995.5146894,0.0
1.0,construction,3208779995.5146894,0.0,3012938962.924591,0.0
2.0,construction,3208779995.5146894,0.0,2829050669.412762,0.0
3.0,construction,3208779995.5146894,0.0,2656385605.0824056,0.0
5.0,operation,136938933.09411678,15768000.0,99949103.03902102,11508761.030262416
6.0,operation,136702413.09411678,15689160.0,93686827.81555595,10752316.643296812
7.0,operation,136467075.69411677,15610714.200000001,87817411.32948966,10045591.605709229
8.0,operation,136232914.98111677,15532660.629,82316176.01446389,9385317.979042895
9.0,operation,135999925.07168177,15454997.325855,77159996.47397019,8768442.61891801
10.0,operation,135768100.11179394,15377722.339225724,72327201.72271025,8192113.0571111925
11.0,operation,135537434.27670556,15300833.727529597,67797483.59328975,7653664.3115733685
12.0,operation,135307921.7707926,15224329.558891948,63551810.918888405,7150606.563394837
13.0,operation,135079556.82740924,15148207.911097487,59572349.127171345,6680613.643735082
14.0,operation,134852333.70874277,15072466.871542,55842384.90377026,6241512.277480194
15.0,operation,134626246.70566964,14997104.53718429,52346255.60526579,5831272.033889947
16.0,operation,134401290.13761187,14922119.014498368,49069283.12183797,5447995.937765726
17.0,operation,134177458.3523944,14847508.419425877,45997711.90870562,5089911.697724787
18.0,operation,133954745.72610302,14773270.877328748,43118650.923229806,4755363.511019871
19.0,operation,133733146.6629431,14699404.522942105,40420019.221187346,4442804.407009176
20.0,operation,133512655.59509896,14625907.500327393,37890494.98129784,4150789.0938724224
21.0,operation,133293266.98259404,14552777.962825757,35519467.741680525,3877967.2754958314
22.0,operation,133074975.31315166,14480014.073011627,33296993.645585056,3623077.4076228663
23.0,operation,132857775.10205649,14407614.00264657,31213753.50654528,3384940.8643988282
24.0,operation,132641660.89201678,14335575.932633335,29261013.51509793,3162456.4883350553
25.0,operation,132426627.25302729,14263898.05297017,27430588.420444045,2954595.4984914367
26.0,operation,132212668.78223273,14192578.56270532,25714807.03095462,2760396.733332376
27.0,operation,131999780.10379216,14121615.669891793,24106479.887281355,2578962.2062588865
28.0,operation,131787955.86874378,14051007.591542333,22598868.971068047,2409452.9532653447
29.0,operation,131577190.75487065,13980752.553584622,21185659.32090992,2251085.153520205
30.0,operation,131367479.46656686,13910848.790816696,19860932.43531185,2103126.504932022
31.0,operation,131158816.73470461,13841294.546862613,18619141.34998861,1964892.837941185
32.0,operation,130951197.31650168,13772088.074128302,17455087.283961967,1835744.9518793235
33.0,operation,130744615.99538976,13703227.63375766,16363897.75557162,1715085.659267537
34.0,operation,130539067.58088338,13634711.49558887,15341006.07575832,1602357.0243861026
34.0,terminal,256702399.64117515,0.0,30167773.87441454,0.0
