metric,value
conditional_dcf_lcoe_gbp_per_mwh,86.02973399903817
crf_reconciliation_lcoe_gbp_per_mwh,71.0184926585207
computed_end_to_end_efficiency,0.14982239999999997
orbital_mass_kg,10000000.0
required_launches,118
initial_capex_gbp,12835119982.058758
pre_contingency_capex_gbp,10695933318.382298
programme_contingency_gbp,2139186663.6764596
discounted_lifetime_cost_gbp,13104153864.448877
discounted_lifetime_energy_mwh,152321217.970933
first_year_delivered_mwh,15768000.0
average_annual_delivered_mwh,14676413.745927144
incident_solar_power_w,13349138713.570204
space_dc_bus_power_w,4672198549.749571
emitted_rf_power_w,3270538984.8246994
incident_rf_power_w,3205128205.1282053
rectenna_dc_power_w,2083333333.3333335
delivered_grid_ac_power_w,2000000000.0
capex_space_generation_hardware_gbp,1868879419.8998284
capex_wireless_power_transmitter_gbp,327053898.48247
capex_launch_to_staging_orbit_gbp,5000000000.0
capex_orbit_transfer_to_operational_orbit_gbp,1000000000.0
capex_in_orbit_assembly_and_deployment_gbp,2000000000.0
capex_rectenna_gbp,300000000.0
capex_grid_connection_gbp,200000000.0
pv_initial_construction_gbp,11707155232.934448
pv_fixed_opex_gbp,273659077.4554318
pv_variable_opex_gbp,456963653.912799
pv_space_hardware_replacement_gbp,620981910.7944119
pv_ground_hardware_replacement_gbp,15226215.47737176
pv_decommissioning_gbp,30167773.87441454
pv_residual_value_gbp,-0.0
