parameter,display_name,unit,value,lcoe_gbp_per_mwh
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2025,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.20500000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.20750000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.21000000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.21250000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.21500000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.21750000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.22,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2225,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.225,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2275,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.23,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2325,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.23500000000000001,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.23750000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.24000000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.24250000000000002,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.245,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2475,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.25,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2525,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.255,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2575,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.26,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2625,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.265,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2675,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.27,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2725,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.275,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2775,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.28,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.28250000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.28500000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.28750000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.29000000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2925,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.29500000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.2975,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.30000000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3025,86.02973399903817
