parameter,display_name,unit,target_lcoe_gbp_per_mwh,threshold_value,reference_value,reference_lcoe_gbp_per_mwh,best_lcoe_in_range_gbp_per_mwh,lcoe_at_threshold_gbp_per_mwh,solution_method,status
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,150,0.2,0.35,86.0297339990382,86.0297339990382,86.0297339990382,monotonic bisection,limiting value meeting target
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,120,0.2,0.35,86.0297339990382,86.0297339990382,86.0297339990382,monotonic bisection,limiting value meeting target
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,100,0.2,0.35,86.0297339990382,86.0297339990382,86.0297339990382,monotonic bisection,limiting value meeting target
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,80,,0.35,86.0297339990382,86.0297339990382,,monotonic bisection,not reached within explored one-way range
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,60,,0.35,86.0297339990382,86.0297339990382,,monotonic bisection,not reached within explored one-way range
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,150,0.4,0.7,86.0297339990382,83.3020969613495,97.6221914092148,monotonic bisection,limiting value meeting target
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,120,0.4,0.7,86.0297339990382,83.3020969613495,97.6221914092148,monotonic bisection,limiting value meeting target
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,100,0.4,0.7,86.0297339990382,83.3020969613495,97.6221914092148,monotonic bisection,limiting value meeting target
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,80,,0.7,86.0297339990382,83.3020969613495,,monotonic bisection,not reached within explored one-way range
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,60,,0.7,86.0297339990382,83.3020969613495,,monotonic bisection,not reached within explored one-way range
transmission_efficiency,RF transmission efficiency,fraction,150,0.85,0.98,86.0297339990382,85.7559422913606,88.8073777157511,monotonic bisection,limiting value meeting target
transmission_efficiency,RF transmission efficiency,fraction,120,0.85,0.98,86.0297339990382,85.7559422913606,88.8073777157511,monotonic bisection,limiting value meeting target
transmission_efficiency,RF transmission efficiency,fraction,100,0.85,0.98,86.0297339990382,85.7559422913606,88.8073777157511,monotonic bisection,limiting value meeting target
transmission_efficiency,RF transmission efficiency,fraction,80,,0.98,86.0297339990382,85.7559422913606,,monotonic bisection,not reached within explored one-way range
transmission_efficiency,RF transmission efficiency,fraction,60,,0.98,86.0297339990382,85.7559422913606,,monotonic bisection,not reached within explored one-way range
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,150,0.4,0.65,86.0297339990382,81.756435973326,97.3806818798361,monotonic bisection,limiting value meeting target
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,120,0.4,0.65,86.0297339990382,81.756435973326,97.3806818798361,monotonic bisection,limiting value meeting target
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,100,0.4,0.65,86.0297339990382,81.756435973326,97.3806818798361,monotonic bisection,limiting value meeting target
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,80,,0.65,86.0297339990382,81.756435973326,,monotonic bisection,not reached within explored one-way range
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,fraction,60,,0.65,86.0297339990382,81.756435973326,,monotonic bisection,not reached within explored one-way range
grid_conversion_efficiency,DC-to-grid AC efficiency,fraction,150,0.9,0.96,86.0297339990382,85.4793850108783,87.24050177299,monotonic bisection,limiting value meeting target
grid_conversion_efficiency,DC-to-grid AC efficiency,fraction,120,0.9,0.96,86.0297339990382,85.4793850108783,87.24050177299,monotonic bisection,limiting value meeting target
grid_conversion_efficiency,DC-to-grid AC efficiency,fraction,100,0.9,0.96,86.0297339990382,85.4793850108783,87.24050177299,monotonic bisection,limiting value meeting target
grid_conversion_efficiency,DC-to-grid AC efficiency,fraction,80,,0.96,86.0297339990382,85.4793850108783,,monotonic bisection,not reached within explored one-way range
grid_conversion_efficiency,DC-to-grid AC efficiency,fraction,60,,0.96,86.0297339990382,85.4793850108783,,monotonic bisection,not reached within explored one-way range
capacity_factor,Delivered capacity factor,fraction,150,0.6,0.9,86.0297339990382,79.2517965297289,127.544600998557,monotonic bisection,limiting value meeting target
capacity_factor,Delivered capacity factor,fraction,120,0.638690261531063,0.9,86.0297339990382,79.2517965297289,120,monotonic bisection,limiting value meeting target
capacity_factor,Delivered capacity factor,fraction,100,0.770378975248808,0.9,86.0297339990382,79.2517965297289,100,monotonic bisection,limiting value meeting target
capacity_factor,Delivered capacity factor,fraction,80,0.970477410378368,0.9,86.0297339990382,79.2517965297289,80,monotonic bisection,limiting value meeting target
capacity_factor,Delivered capacity factor,fraction,60,,0.9,86.0297339990382,79.2517965297289,,monotonic bisection,not reached within explored one-way range
operating_lifetime_years,Operating lifetime after commissioning,years,150,15,30,86.0297339990382,79.2678116498669,114.123611623637,monotonic bisection,limiting value meeting target
operating_lifetime_years,Operating lifetime after commissioning,years,120,15,30,86.0297339990382,79.2678116498669,114.123611623637,monotonic bisection,limiting value meeting target
operating_lifetime_years,Operating lifetime after commissioning,years,100,20,30,86.0297339990382,79.2678116498669,99.2883876045532,monotonic bisection,limiting value meeting target
operating_lifetime_years,Operating lifetime after commissioning,years,80,43,30,86.0297339990382,79.2678116498669,79.7770228031855,monotonic bisection,limiting value meeting target
operating_lifetime_years,Operating lifetime after commissioning,years,60,,30,86.0297339990382,79.2678116498669,,monotonic bisection,not reached within explored one-way range
real_discount_rate,Real project discount rate,fraction,150,0.120632787022047,0.065,86.0297339990382,56.9495540024183,150,monotonic bisection,limiting value meeting target
real_discount_rate,Real project discount rate,fraction,120,0.0968366810470956,0.065,86.0297339990382,56.9495540024183,120,monotonic bisection,limiting value meeting target
real_discount_rate,Real project discount rate,fraction,100,0.0789128870110219,0.065,86.0297339990382,56.9495540024183,99.9999999999999,monotonic bisection,limiting value meeting target
real_discount_rate,Real project discount rate,fraction,80,0.0585308942593808,0.065,86.0297339990382,56.9495540024183,79.9999999999999,monotonic bisection,limiting value meeting target
real_discount_rate,Real project discount rate,fraction,60,0.0342257771202991,0.065,86.0297339990382,56.9495540024183,59.9999999999999,monotonic bisection,limiting value meeting target
construction_duration_years,Construction duration,years,150,8,4,86.0297339990382,74.671368306316,97.0383974027771,monotonic bisection,limiting value meeting target
construction_duration_years,Construction duration,years,120,8,4,86.0297339990382,74.671368306316,97.0383974027771,monotonic bisection,limiting value meeting target
construction_duration_years,Construction duration,years,100,8,4,86.0297339990382,74.671368306316,97.0383974027771,monotonic bisection,limiting value meeting target
construction_duration_years,Construction duration,years,80,1,4,86.0297339990382,74.671368306316,78.9288663260182,monotonic bisection,limiting value meeting target
construction_duration_years,Construction duration,years,60,,4,86.0297339990382,74.671368306316,,monotonic bisection,not reached within explored one-way range
annual_output_degradation_fraction,Annual delivered-output degradation,fraction/year,150,0.03,0.005,86.0297339990382,82.0163067147978,107.352114755653,monotonic bisection,limiting value meeting target
annual_output_degradation_fraction,Annual delivered-output degradation,fraction/year,120,0.03,0.005,86.0297339990382,82.0163067147978,107.352114755653,monotonic bisection,limiting value meeting target
annual_output_degradation_fraction,Annual delivered-output degradation,fraction/year,100,0.0216313860532886,0.005,86.0297339990382,82.0163067147978,99.9999999999999,monotonic bisection,limiting value meeting target
annual_output_degradation_fraction,Annual delivered-output degradation,fraction/year,80,,0.005,86.0297339990382,82.0163067147978,,monotonic bisection,not reached within explored one-way range
annual_output_degradation_fraction,Annual delivered-output degradation,fraction/year,60,,0.005,86.0297339990382,82.0163067147978,,monotonic bisection,not reached within explored one-way range
system_specific_mass_kg_per_kw_delivered,System specific mass,kg/kW-delivered,150,10,5,86.0297339990382,31.2801085127563,146.862651206018,monotonic bisection,limiting value meeting target
system_specific_mass_kg_per_kw_delivered,System specific mass,kg/kW-delivered,120,7.79209575675784,5,86.0297339990382,31.2801085127563,120,monotonic bisection,limiting value meeting target
system_specific_mass_kg_per_kw_delivered,System specific mass,kg/kW-delivered,100,6.14824889569482,5,86.0297339990382,31.2801085127563,100,monotonic bisection,limiting value meeting target
system_specific_mass_kg_per_kw_delivered,System specific mass,kg/kW-delivered,80,4.50440203463181,5,86.0297339990382,31.2801085127563,80,monotonic bisection,limiting value meeting target
system_specific_mass_kg_per_kw_delivered,System specific mass,kg/kW-delivered,60,2.8605551735688,5,86.0297339990382,31.2801085127563,60,monotonic bisection,limiting value meeting target
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,GBP/W-DC,150,2.05547986257352,0.4,86.0297339990382,72.5052003538321,150,monotonic bisection,limiting value meeting target
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,GBP/W-DC,120,1.27911298180334,0.4,86.0297339990382,72.5052003538321,120,monotonic bisection,limiting value meeting target
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,GBP/W-DC,100,0.761535061289883,0.4,86.0297339990382,72.5052003538321,100,monotonic bisection,limiting value meeting target
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,GBP/W-DC,80,0.243957140776427,0.4,86.0297339990382,72.5052003538321,80,monotonic bisection,limiting value meeting target
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,GBP/W-DC,60,,0.4,86.0297339990382,72.5052003538321,,monotonic bisection,not reached within explored one-way range
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,GBP/W-RF emitted,150,1,0.1,86.0297339990382,83.8658086158052,110.373894560409,monotonic bisection,limiting value meeting target
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,GBP/W-RF emitted,120,1,0.1,86.0297339990382,83.8658086158052,110.373894560409,monotonic bisection,limiting value meeting target
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,GBP/W-RF emitted,100,0.616478658985546,0.1,86.0297339990382,83.8658086158052,100,monotonic bisection,limiting value meeting target
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,GBP/W-RF emitted,80,,0.1,86.0297339990382,83.8658086158052,,monotonic bisection,not reached within explored one-way range
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,GBP/W-RF emitted,60,,0.1,86.0297339990382,83.8658086158052,,monotonic bisection,not reached within explored one-way range
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,GBP/kg to staging orbit,150,1341.25856773638,500,86.0297339990382,49.5299836748502,150,monotonic bisection,limiting value meeting target
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,GBP/kg to staging orbit,120,946.735321081254,500,86.0297339990382,49.5299836748502,120,monotonic bisection,limiting value meeting target
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,GBP/kg to staging orbit,100,683.719823311171,500,86.0297339990382,49.5299836748502,100,monotonic bisection,limiting value meeting target
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,GBP/kg to staging orbit,80,420.704325541089,500,86.0297339990382,49.5299836748502,80,monotonic bisection,limiting value meeting target
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,GBP/kg to staging orbit,60,157.688827771008,500,86.0297339990382,49.5299836748502,60,monotonic bisection,limiting value meeting target
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,GBP/kg final hardware,150,941.258567736377,100,86.0297339990382,78.4256193481657,150,monotonic bisection,limiting value meeting target
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,GBP/kg final hardware,120,546.735321081254,100,86.0297339990382,78.4256193481657,120,monotonic bisection,limiting value meeting target
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,GBP/kg final hardware,100,283.719823311172,100,86.0297339990382,78.4256193481657,100,monotonic bisection,limiting value meeting target
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,GBP/kg final hardware,80,20.7043255410894,100,86.0297339990382,78.4256193481657,80,monotonic bisection,limiting value meeting target
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,GBP/kg final hardware,60,,100,86.0297339990382,78.4256193481657,,monotonic bisection,not reached within explored one-way range
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,GBP/kg operational hardware,150,1041.25856773638,200,86.0297339990382,70.8215046972932,150,monotonic bisection,limiting value meeting target
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,GBP/kg operational hardware,120,646.735321081254,200,86.0297339990382,70.8215046972932,120,monotonic bisection,limiting value meeting target
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,GBP/kg operational hardware,100,383.719823311172,200,86.0297339990382,70.8215046972932,100,monotonic bisection,limiting value meeting target
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,GBP/kg operational hardware,80,120.704325541089,200,86.0297339990382,70.8215046972932,80,monotonic bisection,limiting value meeting target
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,GBP/kg operational hardware,60,,200,86.0297339990382,70.8215046972932,,monotonic bisection,not reached within explored one-way range
rectenna_cost_gbp_per_w_delivered,Rectenna cost,GBP/W-delivered AC,150,1,0.15,86.0297339990382,83.9313779039917,99.7497546204957,monotonic bisection,limiting value meeting target
rectenna_cost_gbp_per_w_delivered,Rectenna cost,GBP/W-delivered AC,120,1,0.15,86.0297339990382,83.9313779039917,99.7497546204957,monotonic bisection,limiting value meeting target
rectenna_cost_gbp_per_w_delivered,Rectenna cost,GBP/W-delivered AC,100,1,0.15,86.0297339990382,83.9313779039917,99.7497546204957,monotonic bisection,limiting value meeting target
