technology,category,value_low_gbp_per_mwh,value_mid_gbp_per_mwh,value_high_gbp_per_mwh,price_basis,source_id,value_type,include_in_bands,notes
Large-scale solar,generation-only,55,57.5,60,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Latest DESNZ Annex A LCOE total range across two adjacent official benchmark years; used only as a current official cost benchmark.
Onshore wind,generation-only,57,57.5,58,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Latest DESNZ Annex A LCOE total range across two adjacent official benchmark years.
Fixed offshore wind,generation-only,98,100.5,103,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Latest DESNZ Annex A LCOE total range across two adjacent official benchmark years.
Floating offshore wind,generation-only,125,139,153,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Floating offshore wind remains a less mature benchmark; range reflects FOAK-to-NOAK treatment in the DESNZ workbook.
Gas CCGT high load factor,generation-only,111,112,113,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Gas CCGT 93 percent load-factor LCOE from DESNZ Annex A. Actual operation in a decarbonised system may be lower load factor.
Gas with CCUS high load factor,generation-only,104,104.5,105,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,true,Gas CCUS 900 MW 88 percent load-factor LCOE from DESNZ Annex A.
Gas with CCUS mid load factor,generation-only,181,181,181,2024 real GBP,DESNZ_EGC_2025_ANNEX_A,DESNZ 2025 Annex A 2030-2035 range,false,Included to show sensitivity to lower utilisation; excluded from headline benchmark band to avoid double-counting dispatch role.
Nuclear Hinkley Point C public contract marker,contract-price marker,92.5,92.5,92.5,2012 real-price terms (CPI-indexed),NAO_HPC_2017,35-year Contract for Difference strike-price marker,false,Not a generic LCOE and not directly comparable with 2024 real-price generation costs. The £92.50/MWh contractual strike price is stated in 2012 prices and indexed to CPI.
Battery storage,storage-cost marker,,,,mixed,BEIS_EGC_2020,Not directly comparable,false,Storage is not generation LCOE; BEIS 2020 states storage assumptions are not directly comparable with generator LCOEs.
Long-duration storage,storage-cost marker,,,,mixed,BEIS_EGC_2020,Not directly comparable,false,Included as a system-cost category rather than a generation-only parity benchmark.
