technology,benchmark_reference,value_low_gbp_per_mwh,value_mid_gbp_per_mwh,value_high_gbp_per_mwh,price_basis,source_id,components,notes
"Onshore wind","BEIS enhanced LCOE 2025",56,64.5,73,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.1 enhanced levelised cost across six low-carbon generation scenarios."
"Large-scale solar","BEIS enhanced LCOE 2025",53,59.5,66,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.1 enhanced levelised cost across six low-carbon generation scenarios."
"Offshore wind","BEIS enhanced LCOE 2025",69,77,85,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.1 enhanced levelised cost across six low-carbon generation scenarios."
"Onshore wind","BEIS enhanced LCOE 2030",59,73,87,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.2 enhanced levelised cost across six low-carbon generation scenarios."
"Large-scale solar","BEIS enhanced LCOE 2030",48,57,66,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.2 enhanced levelised cost across six low-carbon generation scenarios."
"Offshore wind","BEIS enhanced LCOE 2030",62,72,82,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.2 enhanced levelised cost across six low-carbon generation scenarios."
"Onshore wind","BEIS enhanced LCOE 2035",60,73.5,87,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.3 enhanced levelised cost across six low-carbon generation scenarios."
"Large-scale solar","BEIS enhanced LCOE 2035",45,53,61,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.3 enhanced levelised cost across six low-carbon generation scenarios."
"Offshore wind","BEIS enhanced LCOE 2035",59,69,79,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","BEIS Table 7.3 enhanced levelised cost across six low-carbon generation scenarios."
"High-renewable system-adjusted band","derived combined range",45,66,87,"2018 real GBP",BEIS_EGC_2020,"range envelope across variable-renewable enhanced LCOE rows","Derived from BEIS enhanced LCOE rows for onshore wind, large-scale solar and offshore wind. It is a range, not a point estimate."
"CCGT H Class","BEIS enhanced LCOE envelope",27,77,127,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","Envelope across BEIS Tables 7.1-7.3. Dispatchable plant receives system value but lower load factors make GBP/MWh metrics uncertain."
"CCGT plus CCUS","BEIS enhanced LCOE envelope",38,59,80,"2018 real GBP",BEIS_EGC_2020,"wider system impact plus other impacts plus transmission","Envelope across BEIS Tables 7.1-7.3."
